Word                          Rank           Frequency      Rank*Frequency      
ontenimento                   6287           2              12574               
somoda                        6288           2              12576               
emergenti                     6289           2              12578               
brics                         6290           2              12580               
russo                         6291           2              12582               
dellaordo                     6292           2              12584               
dellunfccc                    6293           2              12586               
ambiziosi                     6294           2              12588               
farne                         6295           2              12590               
orrettive                     6296           2              12592               
immediate                     6297           2              12594               
attuabile                     6298           2              12596               
problematia                   6299           2              12598               
interessi                     6300           2              12600               
rihezza                       6301           2              12602               
impegni                       6302           2              12604               
tassa                         6303           2              12606               
ase                           6304           2              12608               
effiienti                     6305           2              12610               
loalmente                     6306           2              12612               
federali                      6307           2              12614               
aavv                          6308           2              12616               
cambio                        6309           2              12618               
climátio                      6310           2              12620               
indigeni                      6311           2              12622               
nagasaki                      6312           2              12624               
sanguinoso                    6313           2              12626               
sofferenze                    6314           2              12628               
perseuzioni                   6315           2              12630               
loloausto                     6316           2              12632               
razza                         6317           2              12634               
ariana                        6318           2              12636               
lespansionismo                6319           2              12638               
spinse                        6320           2              12640               
guardare                      6321           2              12642               
asiatii                       6322           2              12644               
rihe                          6323           2              12646               
ondizionare                   6324           2              12648               
segreta                       6325           2              12650               
fallimentari                  6326           2              12652               
linidente                     6327           2              12654               
adottata                      6328           2              12656               
primario                      6329           2              12658               
indebolita                    6330           2              12660               
vedeva                        6331           2              12662               
kaishek                       6332           2              12664               
ferroviario                   6333           2              12666               
insediato                     6334           2              12668               
avviinamento                  6335           2              12670               
nanhino                       6336           2              12672               
ritrovarono                   6337           2              12674               
versailles                    6338           2              12676               
dure                          6339           2              12678               
danzia                        6340           2              12680               
dellaviazione                 6341           2              12682               
pagamento                     6342           2              12684               
ontribuirono                  6343           2              12686               
spalle                        6344           2              12688               
ontrollato                    6345           2              12690               
nazisti                       6346           2              12692               
renania                       6347           2              12694               
ditalia                       6348           2              12696               
letiopia                      6349           2              12698               
italotedeso                   6350           2              12700               
spagnola                      6351           2              12702               
onretizzarsi                  6352           2              12704               
riarmo                        6353           2              12706               
ontinuava                     6354           2              12708               
unespansione                  6355           2              12710               
lebensraum                    6356           2              12712               
desiderio                     6357           2              12714               
tendevano                     6358           2              12716               
laustria                      6359           2              12718               
ununione                      6360           2              12720               
oppose                        6361           2              12722               
dopoguerra                    6362           2              12724               
sudeti                        6363           2              12726               
popolata                      6364           2              12728               
sfoggio                       6365           2              12730               
aonsentirono                  6366           2              12732               
allannessione                 6367           2              12734               
essò                          6368           2              12736               
dihiarate                     6369           2              12738               
protettorato                  6370           2              12740               
slovahia                      6371           2              12742               
irondata                      6372           2              12744               
espansionistihe               6373           2              12746               
fornirono                     6374           2              12748               
immediato                     6375           2              12750               
firmarono                     6376           2              12752               
aggressione                   6377           2              12754               
prevedendo                    6378           2              12756               
laniare                       6379           2              12758               
blitzkrieg                    6380           2              12760               
modesta                       6381           2              12762               
ommisero                      6382           2              12764               
giunsero                      6383           2              12766               
metodiamente                  6384           2              12768               
aerhiata                      6385           2              12770               
aelerare                      6386           2              12772               
olpire                        6387           2              12774               
disperatamente                6388           2              12776               
invase                        6389           2              12778               
arrese                        6390           2              12780               
rifugiarsi                    6391           2              12782               
affianati                     6392           2              12784               
british                       6393           2              12786               
expeditionary                 6394           2              12788               
adottarono                    6395           2              12790               
war                           6396           2              12792               
interettare                   6397           2              12794               
marittimo                     6398           2              12796               
laffondamento                 6399           2              12798               
dellu                         6400           2              12800               
siluramento                   6401           2              12802               
sera                          6402           2              12804               
transatlantio                 6403           2              12806               
neutrali                      6404           2              12808               
antieri                       6405           2              12810               
sortita                       6406           2              12812               
disponevano                   6407           2              12814               
finnio                        6408           2              12816               
helsinki                      6409           2              12818               
dinverno                      6410           2              12820               
finlandesi                    6411           2              12822               
mero                          6412           2              12824               
attaanti                      6413           2              12826               
giunse                        6414           2              12828               
punta                         6415           2              12830               
norvegese                     6416           2              12832               
passava                       6417           2              12834               
norvegesi                     6418           2              12836               
inviati                       6419           2              12838               
mal                           6420           2              12840               
progettata                    6421           2              12842               
arente                        6422           2              12844               
pianifiata                    6423           2              12846               
dimostrazione                 6424           2              12848               
sbaragliarono                 6425           2              12850               
respinto                      6426           2              12852               
rishiò                        6427           2              12854               
tagliato                      6428           2              12856               
intrappolati                  6429           2              12858               
autorizzò                     6430           2              12860               
naviglio                      6431           2              12862               
giunte                        6432           2              12864               
arrivati                      6433           2              12866               
logistia                      6434           2              12868               
bisognosi                     6435           2              12870               
trarsi                        6436           2              12872               
bersagliata                   6437           2              12874               
equipaggiamenti               6438           2              12876               
aiato                         6439           2              12878               
numeria                       6440           2              12880               
indebolite                    6441           2              12882               
gravemente                    6442           2              12884               
bombardò                      6443           2              12886               
sferrata                      6444           2              12888               
guadagni                      6445           2              12890               
disordinatamente              6446           2              12892               
loira                         6447           2              12894               
inontrastati                  6448           2              12896               
reynaud                       6449           2              12898               
pétain                        6450           2              12900               
allitalia                     6451           2              12902               
eduti                         6452           2              12904               
iniziando                     6453           2              12906               
neutralizzare                 6454           2              12908               
mille                         6455           2              12910               
equipaggi                     6456           2              12912               
testimoniò                    6457           2              12914               
preparare                     6458           2              12916               
indebolire                    6459           2              12918               
diurne                        6460           2              12920               
notturne                      6461           2              12922               
passata                       6462           2              12924               
dinghilterra                  6463           2              12926               
unintensa                     6464           2              12928               
gibilterra                    6465           2              12930               
onduzione                     6466           2              12932               
risolutiva                    6467           2              12934               
prudenza                      6468           2              12936               
omandanti                     6469           2              12938               
isola                         6470           2              12940               
insidiare                     6471           2              12942               
manarono                      6472           2              12944               
sabotatori                    6473           2              12946               
flottiglia                    6474           2              12948               
mas                           6475           2              12950               
deollati                      6476           2              12952               
andarono                      6477           2              12954               
taranto                       6478           2              12956               
ontrapporre                   6479           2              12958               
legitto                       6480           2              12960               
difendevano                   6481           2              12962               
graziani                      6482           2              12964               
arhibald                      6483           2              12966               
addestrate                    6484           2              12968               
deserto                       6485           2              12970               
compass                       6486           2              12972               
piazzeforti                   6487           2              12974               
bengasi                       6488           2              12976               
olonia                        6489           2              12978               
isolata                       6490           2              12980               
prolungare                    6491           2              12982               
somalia                       6492           2              12984               
fratriidi                     6493           2              12986               
naseva                        6494           2              12988               
rollata                       6495           2              12990               
aanitamente                   6496           2              12992               
stabilizzò                    6497           2              12994               
intervennero                  6498           2              12996               
trovavano                     6499           2              12998               
ottima                        6500           2              13000               
attaare                       6501           2              13002               
forzato                       6502           2              13004               
tripartito                    6503           2              13006               
infuriato                     6504           2              13008               
austria                       6505           2              13010               
jugoslavo                     6506           2              13012               
dottrine                      6507           2              13014               
aduti                         6508           2              13016               
contemporaneamente            6509           2              13018               
inviato                       6510           2              13020               
avviavano                     6511           2              13022               
egeo                          6512           2              13024               
massii                        6513           2              13026               
evauare                       6514           2              13028               
insurrezionale                6515           2              13030               
shieramenti                   6516           2              13032               
josip                         6517           2              13034               
broz                          6518           2              13036               
pervaso                       6519           2              13038               
formalmente                   6520           2              13040               
alleggerire                   6521           2              13042               
lestero                       6522           2              13044               
caraibi                       6523           2              13046               
lendlease                     6524           2              13048               
fornì                         6525           2              13050               
olarono                       6526           2              13052               
lorda                         6527           2              13054               
ammiraglio                    6528           2              13056               
impegnò                       6529           2              13058               
sonar                         6530           2              13060               
aiuto                         6531           2              13062               
nave                          6532           2              13064               
olati                         6533           2              13066               
uss                           6534           2              13068               
alterne                       6535           2              13070               
libio                         6536           2              13072               
elagheila                     6537           2              13074               
logistihe                     6538           2              13076               
pausa                         6539           2              13078               
approfittarono                6540           2              13080               
lassenso                      6541           2              13082               
riluttante                    6542           2              13084               
unimprovvisa                  6543           2              13086               
sgombrare                     6544           2              13088               
respinti                      6545           2              13090               
auhinlek                      6546           2              13092               
satenata                      6547           2              13094               
debolezza                     6548           2              13096               
addestramento                 6549           2              13098               
notturno                      6550           2              13100               
insuesso                      6551           2              13102               
affondarono                   6552           2              13104               
rashid                        6553           2              13106               
siria                         6554           2              13108               
favorevoli                    6555           2              13110               
liran                         6556           2              13112               
ideologii                     6557           2              13114               
sonfiggere                    6558           2              13116               
rimasta                       6559           2              13118               
riorganizzare                 6560           2              13120               
eseriti                       6561           2              13122               
antiomunisti                  6562           2              13124               
rimaste                       6563           2              13126               
battevano                     6564           2              13128               
manovrarono                   6565           2              13130               
aerhiarono                    6566           2              13132               
aerhiando                     6567           2              13134               
tagliata                      6568           2              13136               
uman                          6569           2              13138               
diressero                     6570           2              13140               
inture                        6571           2              13142               
hiudendo                      6572           2              13144               
brjansk                       6573           2              13146               
vjazma                        6574           2              13148               
georgij                       6575           2              13150               
equipaggiate                  6576           2              13152               
attaato                       6577           2              13154               
fermarono                     6578           2              13156               
esauste                       6579           2              13158               
ambiata                       6580           2              13160               
forniture                     6581           2              13162               
haiphong                      6582           2              13164               
konoe                         6583           2              13166               
ulminato                      6584           2              13168               
rafforzare                    6585           2              13170               
ompletamento                  6586           2              13172               
obbligando                    6587           2              13174               
dellindoina                   6588           2              13176               
cambogia                      6589           2              13178               
mediazione                    6590           2              13180               
ottenendo                     6591           2              13182               
lanio                         6592           2              13184               
varate                        6593           2              13186               
sol                           6594           2              13188               
ontinuavano                   6595           2              13190               
perimetro                     6596           2              13192               
dellammiraglio                6597           2              13194               
nagumo                        6598           2              13196               
possedimenti                  6599           2              13198               
nellasia                      6600           2              13200               
guam                          6601           2              13202               
luzon                         6602           2              13204               
affrettò                      6603           2              13206               
siglare                       6604           2              13208               
aprirsi                       6605           2              13210               
angloindiane                  6606           2              13212               
aduto                         6607           2              13214               
olandesi                      6608           2              13216               
ritirarsi                     6609           2              13218               
laustralia                    6610           2              13220               
lae                           6611           2              13222               
salamaua                      6612           2              13224               
nordorientale                 6613           2              13226               
squadroni                     6614           2              13228               
inutilizzabili                6615           2              13230               
inutilizzabile                6616           2              13232               
sbarati                       6617           2              13234               
anfibi                        6618           2              13236               
attestarsi                    6619           2              13238               
ain                           6620           2              13240               
elgazala                      6621           2              13242               
stretta                       6622           2              13244               
vittoriosa                    6623           2              13246               
ržev                          6624           2              13248               
demjansk                      6625           2              13250               
resistettero                  6626           2              13252               
soorso                        6627           2              13254               
altrettanto                   6628           2              13256               
lopposizione                  6629           2              13258               
done                          6630           2              13260               
pozzi                         6631           2              13262               
invishiati                    6632           2              13264               
servì                         6633           2              13266               
ontinuamente                  6634           2              13268               
strateghi                     6635           2              13270               
esperienza                    6636           2              13272               
patite                        6637           2              13274               
inrementati                   6638           2              13276               
suotere                       6639           2              13278               
distruggere                   6640           2              13280               
periferihe                    6641           2              13282               
shierati                      6642           2              13284               
fortezza                      6643           2              13286               
onvogliati                    6644           2              13288               
alimenti                      6645           2              13290               
laprile                       6646           2              13292               
inursione                     6647           2              13294               
bombardati                    6648           2              13296               
impegnato                     6649           2              13298               
lontana                       6650           2              13300               
anfibie                       6651           2              13302               
ombattuta                     6652           2              13304               
owen                          6653           2              13306               
spinto                        6654           2              13308               
batterono                     6655           2              13310               
rinuniare                     6656           2              13312               
imperiale                     6657           2              13314               
ridotti                       6658           2              13316               
vasilevskij                   6659           2              13318               
bloata                        6660           2              13320               
tunisia                       6661           2              13322               
corpo                         6662           2              13324               
perdendo                      6663           2              13326               
annientate                    6664           2              13328               
primaverile                   6665           2              13330               
dallavanzata                  6666           2              13332               
lafflusso                     6667           2              13334               
manstein                      6668           2              13336               
rionquistando                 6669           2              13338               
nellatlantio                  6670           2              13340               
limpreparazione               6671           2              13342               
ritmo                         6672           2              13344               
sorte                         6673           2              13346               
dediti                        6674           2              13348               
affondati                     6675           2              13350               
vittima                       6676           2              13352               
bougainville                  6677           2              13354               
lagosto                       6678           2              13356               
neutralizzata                 6679           2              13358               
saiare                        6680           2              13360               
retto                         6681           2              13362               
prebellio                     6682           2              13364               
vararono                      6683           2              13366               
tarawa                        6684           2              13368               
durezza                       6685           2              13370               
alloperazione                 6686           2              13372               
durissima                     6687           2              13374               
rollò                         6688           2              13376               
attestarono                   6689           2              13378               
žytomyr                       6690           2              13380               
ventre                        6691           2              13382               
unoffensiva                   6692           2              13384               
ostrette                      6693           2              13386               
svilupparono                  6694           2              13388               
separata                      6695           2              13390               
approdarono                   6696           2              13392               
onvennero                     6697           2              13394               
larmistizio                   6698           2              13396               
dettata                       6699           2              13398               
sommarie                      6700           2              13400               
cefalonia                     6701           2              13402               
dodeaneso                     6702           2              13404               
olata                         6703           2              13406               
gustav                        6704           2              13408               
finita                        6705           2              13410               
faia                          6706           2              13412               
bug                           6707           2              13414               
bessarabia                    6708           2              13416               
seppur                        6709           2              13418               
spaventose                    6710           2              13420               
vasti                         6711           2              13422               
anzio                         6712           2              13424               
gotia                         6713           2              13426               
adriatio                      6714           2              13428               
overlord                      6715           2              13430               
caen                          6716           2              13432               
bradley                       6717           2              13434               
spazzato                      6718           2              13436               
varo                          6719           2              13438               
tenevano                      6720           2              13440               
harry                         6721           2              13442               
falaise                       6722           2              13444               
insorta                       6723           2              13446               
lorena                        6724           2              13448               
bagration                     6725           2              13450               
bielorussia                   6726           2              13452               
beresina                      6727           2              13454               
veloemente                    6728           2              13456               
inarrestabile                 6729           2              13458               
lannientamento                6730           2              13460               
riprendersi                   6731           2              13462               
riga                          6732           2              13464               
krajowa                       6733           2              13466               
linsurrezione                 6734           2              13468               
riusita                       6735           2              13470               
carpazi                       6736           2              13472               
hiuse                         6737           2              13474               
defezione                     6738           2              13476               
mihele                        6739           2              13478               
buarest                       6740           2              13480               
shiaiata                      6741           2              13482               
prevenire                     6742           2              13484               
avviarono                     6743           2              13486               
situate                       6744           2              13488               
boeing                        6745           2              13490               
imbarati                      6746           2              13492               
intero                        6747           2              13494               
superstiti                    6748           2              13496               
onepito                       6749           2              13498               
angloindiani                  6750           2              13500               
slim                          6751           2              13502               
bloare                        6752           2              13504               
rallentamento                 6753           2              13506               
franostatunitensi             6754           2              13508               
devers                        6755           2              13510               
aviotrasportato               6756           2              13512               
shelda                        6757           2              13514               
anversa                       6758           2              13516               
aspri                         6759           2              13518               
bososo                        6760           2              13520               
impedito                      6761           2              13522               
danubio                       6762           2              13524               
infuriavano                   6763           2              13526               
ammassate                     6764           2              13528               
abbatté                       6765           2              13530               
vuoto                         6766           2              13532               
attaata                       6767           2              13534               
onquistata                    6768           2              13536               
vendetta                      6769           2              13538               
rastrellamento                6770           2              13540               
approdare                     6771           2              13542               
colonia                       6772           2              13544               
ruhr                          6773           2              13546               
gioventù                      6774           2              13548               
hitleriana                    6775           2              13550               
brema                         6776           2              13552               
elba                          6777           2              13554               
lipsia                        6778           2              13556               
uninsurrezione                6779           2              13558               
dellaustria                   6780           2              13560               
altissime                     6781           2              13562               
bunker                        6782           2              13564               
flensburg                     6783           2              13566               
inondizionata                 6784           2              13568               
uninursione                   6785           2              13570               
affondando                    6786           2              13572               
tradusse                      6787           2              13574               
malnutrizione                 6788           2              13576               
iwo                           6789           2              13578               
jima                          6790           2              13580               
ontarono                      6791           2              13582               
reparto                       6792           2              13584               
kamikaze                      6793           2              13586               
deliberatamente               6794           2              13588               
missili                       6795           2              13590               
superato                      6796           2              13592               
totali                        6797           2              13594               
distruttiva                   6798           2              13596               
prototipo                     6799           2              13598               
sganiò                        6800           2              13600               
perirono                      6801           2              13602               
sahalin                       6802           2              13604               
curili                        6803           2              13606               
hirohito                      6804           2              13608               
sinogiapponese                6805           2              13610               
notturni                      6806           2              13612               
blitz                         6807           2              13614               
distruttivo                   6808           2              13616               
sullinghilterra               6809           2              13618               
onobbe                        6810           2              13620               
nomina                        6811           2              13622               
enormemente                   6812           2              13624               
terroristii                   6813           2              13626               
inendiarie                    6814           2              13628               
onepita                       6815           2              13630               
rasa                          6816           2              13632               
generarono                    6817           2              13634               
mustang                       6818           2              13636               
ontinuassero                  6819           2              13638               
alata                         6820           2              13640               
mutò                          6821           2              13642               
palestina                     6822           2              13644               
grehe                         6823           2              13646               
ollaborazionismo              6824           2              13648               
allestremo                    6825           2              13650               
repressione                   6826           2              13652               
favorirono                    6827           2              13654               
violente                      6828           2              13656               
rifugi                        6829           2              13658               
resistenziale                 6830           2              13660               
résistane                     6831           2              13662               
maquis                        6832           2              13664               
fasisti                       6833           2              13666               
marzabotto                    6834           2              13668               
partigiana                    6835           2              13670               
spietate                      6836           2              13672               
severe                        6837           2              13674               
sì                            6838           2              13676               
distinti                      6839           2              13678               
relutati                      6840           2              13680               
altrove                       6841           2              13682               
ripristino                    6842           2              13684               
